Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.92	0.81	1.95	-0.5	-0.13	0.78
0.13	-0.59	0.63	-0.21	0.48	0.14	1.68
0.22	0.48	0.14	1.16	-1.53	0.72	-0.08
0.16	0.59	0.13	1.02	-0.95	0.75	-0.4
0.15	-0.06	-0.15	-0.2	-0.78	1.18	-0.22
0.34	0.93	1.38	1.68	0.01	0.88	-0.28
0.27	-0.59	0.44	-0.09	-0.98	0.12	-0.95
0.1	-1.14	1.18	0.04	0.22	-0.34	0.72
0.27	1.24	0.67	1.03	-0.57	0.34	1.54
0.57	0.22	0.37	0.47	0.5	0.32	-0.19
0.15	0.51	0.78	1.7	-0.69	0.08	0.59
0.11	0.65	0.29	1.12	-1.28	1.26	-0.15
0.29	0.81	0.09	0.99	-0.19	0.67	-0.27
0.35	-0.05	-0.34	0.93	0.27	-1.11	1.26
0.15	0.2	-0.06	0.09	-0.59	1.15	0.42
0.14	0.64	0.59	1.59	-0.45	-0.37	0.55
0.47	0.04	-0.17	-0.01	-0.85	0.45	1.14
1.05	0.63	0.21	1.08	-1.29	1.0	-0.17
0.25	1.35	0.75	1.01	-0.52	0.21	0.97
0.33	1.37	0.76	0.97	-0.74	0.32	1.29
0.59	-0.07	0.65	0.6	0.23	0.37	-0.19
0.39	0.41	-0.47	0.08	-0.04	-0.76	0.44
0.39	1.39	0.55	0.99	-0.18	0.2	1.14
1.71	0.42	-0.45	-0.1	-0.53	-0.03	1.29
0.1	-0.87	0.16	-0.28	1.19	-0.0	0.01
0.18	-0.98	0.07	-0.14	0.26	1.34	1.97
0.1	0.02	-0.45	-0.17	-0.58	0.4	0.56
0.52	1.12	0.54	0.86	-0.97	0.22	0.86
0.22	0.61	0.49	1.11	-1.65	2.04	-0.09
0.22	0.89	0.33	1.28	-0.3	2.07	0.84
0.18	-0.05	0.34	0.57	0.27	-0.25	-0.37
0.27	-1.11	0.89	-0.02	-0.12	0.37	0.13
0.16	0.1	-0.11	-0.47	-0.4	-0.85	1.64
0.17	0.98	0.12	1.06	0.55	-1.49	-1.87
0.35	0.64	0.9	2.15	0.12	0.24	-0.02
0.7	0.94	0.25	1.27	-0.03	2.29	0.39
0.8	1.08	0.51	0.91	-0.93	0.24	1.03
0.11	0.9	0.56	1.14	-0.63	2.17	0.27
1.12	0.94	0.25	1.27	-0.58	2.01	0.61
0.3	-0.05	-0.25	-0.07	-0.2	1.03	0.31
0.18	-0.98	-0.05	0.03	0.26	0.67	1.53
0.54	0.99	0.26	1.24	-0.16	1.88	0.52
0.16	1.33	-0.06	1.31	-0.21	1.03	1.2
0.18	-0.9	0.0	0.0	0.19	0.89	1.65
0.64	-0.91	0.57	-0.35	0.36	-0.58	0.05
0.4	0.28	-0.49	-0.07	0.05	0.31	0.17
0.37	-0.24	0.45	0.41	-0.25	0.62	0.16
0.17	1.01	0.58	1.07	-0.46	-0.02	1.42
0.17	0.72	0.55	1.11	-0.57	0.79	-0.04
0.13	-0.38	0.39	0.26	-0.61	0.97	0.25
0.4	-1.2	0.3	0.06	0.03	1.0	1.1
0.14	0.39	-0.41	-0.08	-0.47	0.84	0.41
0.1	0.68	0.53	1.7	-0.39	-0.43	0.03
0.16	0.05	-0.23	0.15	0.07	0.7	0.4
3.01	0.16	-0.12	-0.49	-0.32	0.09	1.48
0.49	0.13	-0.11	-0.52	0.04	0.02	1.89
0.86	0.15	-0.32	-0.19	-0.03	0.83	0.87
2.32	-1.04	0.87	-0.04	1.07	-0.1	0.31
0.22	-0.29	-0.56	0.39	0.31	-1.09	-0.18
0.18	0.1	-0.13	-0.49	-0.56	-0.73	1.6
0.28	-0.06	0.04	-0.32	1.67	-1.71	1.98
0.18	0.33	-0.63	-0.2	-0.31	0.26	0.65
0.3	-0.47	-0.46	-0.53	-1.57	-0.14	1.82
0.17	-1.04	0.1	-0.01	-0.08	1.14	1.5
1.17	-0.23	0.49	0.43	-0.11	0.5	0.16
0.18	0.04	-0.48	0.16	-0.33	1.19	0.74
0.11	-1.05	0.9	-0.43	1.01	-0.3	0.02
34.38	-0.97	0.15	-0.16	0.46	0.89	1.0
5.3	-0.96	0.14	-0.14	1.94	-2.98	1.8
0.54	0.17	0.72	1.66	-1.04	-0.08	-0.45
0.58	0.93	0.44	0.93	-1.03	0.89	-0.59
0.1	-0.24	0.51	0.48	0.21	0.72	-0.02
0.17	-1.01	0.01	-0.11	0.8	1.38	1.42
0.24	1.34	0.62	1.07	-0.83	0.15	0.93
