Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.4	0.5	2.3	-0.52	-0.42	-0.05
0.13	-0.03	-0.08	0.75	1.41	-0.87	-0.28
0.22	-0.54	0.59	0.35	-0.29	-0.19	-1.32
0.16	-0.08	0.45	0.01	-0.69	-0.98	-0.64
0.15	-0.53	-0.16	-1.09	-0.04	-0.46	-0.7
0.34	0.87	2.01	1.24	-0.14	0.35	-0.54
0.27	-1.51	-0.22	-0.42	-0.45	-0.81	-0.13
0.1	-0.42	0.26	0.63	1.56	-1.33	0.33
0.27	0.26	0.41	1.97	-0.97	-0.58	0.22
0.57	0.46	-0.24	0.25	-0.74	-0.75	-0.17
0.15	-0.02	0.62	1.88	-0.35	-0.34	-0.25
0.11	-0.29	0.83	0.3	-0.6	-0.45	-1.16
0.29	0.72	0.42	1.05	-0.26	-0.69	-0.74
0.35	0.34	-1.18	1.83	0.42	-0.56	0.59
0.15	-0.14	0.29	0.65	1.14	0.0	1.11
0.14	0.49	0.14	1.59	-0.13	-0.29	-0.66
0.47	0.07	0.4	0.42	2.02	0.95	0.38
1.05	-0.26	0.66	0.21	-0.53	-0.69	-0.99
0.25	0.14	0.42	1.72	-1.27	-0.78	0.05
0.33	0.23	0.3	1.81	-1.26	-0.78	0.16
0.59	0.04	0.06	0.41	0.45	-1.0	1.02
0.39	0.14	0.28	0.51	0.22	0.72	1.58
0.39	0.44	0.37	1.78	-1.31	-0.4	0.12
1.71	-0.15	0.37	0.34	-0.7	0.19	-0.89
0.1	0.33	0.18	0.52	0.07	0.41	-0.19
0.18	0.33	0.01	0.33	1.49	-0.28	1.32
0.1	0.07	0.29	0.03	0.66	0.31	0.88
0.52	0.38	0.15	1.29	-0.35	-0.36	-0.7
0.22	-0.84	2.02	0.68	-1.3	1.14	-0.55
0.22	0.57	1.53	1.58	-0.37	0.67	-0.04
0.18	0.09	-0.64	-0.49	-1.43	-0.88	-1.73
0.27	-0.47	0.46	0.14	1.32	-0.97	0.31
0.16	-0.49	-0.09	0.92	0.2	0.3	0.7
0.17	0.27	0.31	0.91	-1.03	-0.32	-1.07
0.35	0.76	0.91	1.77	0.03	-0.24	-0.77
0.7	0.29	1.05	1.55	0.04	0.75	-0.31
0.8	0.35	0.05	1.57	-0.34	-0.31	-0.16
0.11	0.23	2.13	1.25	-0.67	1.16	-0.02
1.12	0.3	1.06	1.55	-0.78	-0.13	-0.16
0.3	-0.01	0.08	-0.06	0.47	-0.61	0.69
0.18	0.35	0.43	0.17	1.76	-1.18	-0.1
0.54	0.48	1.25	1.31	-0.58	0.27	-0.29
0.16	0.61	1.07	1.98	-0.95	0.93	0.13
0.18	0.48	-0.14	0.42	1.52	-0.65	1.03
0.64	0.37	-0.06	1.03	2.15	0.22	0.95
0.4	-0.2	0.55	0.42	-0.0	0.56	-0.76
0.37	0.06	0.2	0.42	1.55	-1.36	0.97
0.17	0.42	0.05	1.61	-0.57	-0.36	-0.51
0.17	0.45	0.45	0.81	0.1	-1.13	-0.27
0.13	-0.65	0.36	0.12	0.5	-0.83	-0.19
0.4	-0.24	1.02	0.61	1.54	0.16	0.28
0.14	-0.03	0.47	0.46	-0.17	-0.96	-0.37
0.1	0.48	0.13	1.21	-0.29	-0.18	-1.27
0.16	0.13	-1.21	-0.55	-0.91	-1.97	-1.5
3.01	-0.37	-0.08	0.8	0.3	0.52	0.76
0.49	-0.36	-0.08	0.78	0.12	0.66	-0.29
0.86	0.03	0.23	0.47	-0.61	-0.2	1.28
2.32	0.16	0.1	0.94	1.78	-0.19	0.51
0.22	0.24	-0.86	-0.21	0.43	0.7	-0.85
0.18	-0.2	0.21	0.72	0.69	1.1	0.51
0.28	-0.02	-0.49	-0.44	-0.51	0.14	0.22
0.18	-0.03	0.37	0.19	1.26	-0.18	-0.72
0.3	-1.39	0.01	1.21	-0.42	0.66	1.48
0.17	0.39	0.12	0.66	1.23	0.14	1.34
1.17	0.07	0.08	0.38	1.68	-1.67	0.49
0.18	0.2	0.19	0.54	0.88	0.61	2.52
0.11	0.26	-0.11	0.17	1.33	-1.52	1.43
34.38	0.27	0.18	0.42	1.79	-0.11	0.23
5.3	0.26	0.18	0.41	-1.42	1.34	-1.26
0.54	-0.62	0.41	0.77	-0.28	-0.59	-1.39
0.58	-0.32	0.18	0.25	-0.55	-1.56	-0.7
0.1	0.15	0.04	0.52	1.54	-1.4	1.31
0.17	0.38	-0.04	0.6	2.1	-1.99	1.03
0.24	-0.08	0.4	1.51	-1.36	-0.36	-0.3
